"Sample.Size","Mixing","Separation","Strategy","param","Class 1","Class 2","Class 3"
"Small Sample (N=300)","Equal Mix.","Strongly Separated","MICE-RF","Y3",0.466700990809008,0.850582213684825,0.353923930326714
"Small Sample (N=300)","Unequal Mix.","Weakly Separated","Complete data","Y3",0.229532274501952,-0.886081050227053,-0.149389420562409
"Small Sample (N=300)","Unequal Mix.","Weakly Separated","FIML","Y3",1,1,1
"Small Sample (N=300)","Unequal Mix.","Weakly Separated","Pattern Mixture Model","Y3",-0.15581803366601,1.61343055853105,-1.47542527419762
"Small Sample (N=300)","Unequal Mix.","Weakly Separated","EMS-MVN.","Y3",1.50782665018734,-0.625409381147361,0.166852599112993
"Small Sample (N=300)","Unequal Mix.","Weakly Separated","MICE-PMM","Y3",1.5509066018789,-0.48979372866474,-0.241170187856911
"Small Sample (N=300)","Unequal Mix.","Weakly Separated","MICE-CART","Y3",2.24162002676371,-1.22535807635655,-0.598430302033213
"Small Sample (N=300)","Unequal Mix.","Weakly Separated","MICE-RF","Y3",1.99298224294063,-0.56555264818491,-0.355486101463892
"Small Sample (N=300)","Unequal Mix.","Strongly Separated","Complete data","Y3",-0.027742740426217,0.058061245324612,-0.0630472627805016
"Small Sample (N=300)","Unequal Mix.","Strongly Separated","FIML","Y3",1,1,1
"Small Sample (N=300)","Unequal Mix.","Strongly Separated","Pattern Mixture Model","Y3",-0.431674683918173,1.13235530341666,-0.736525048552851
"Small Sample (N=300)","Unequal Mix.","Strongly Separated","EMS-MVN.","Y3",1.76084306056042,0.394511996217027,0.331632788199418
"Small Sample (N=300)","Unequal Mix.","Strongly Separated","MICE-PMM","Y3",1.61530521398641,0.396196584948128,0.0828585995279369
"Small Sample (N=300)","Unequal Mix.","Strongly Separated","MICE-CART","Y3",1.61204241054799,0.29324755147869,-0.0587735452963046
"Small Sample (N=300)","Unequal Mix.","Strongly Separated","MICE-RF","Y3",1.55560713348582,0.488617881330444,-0.0738703488045741
"Large Sample (N=1200)","Equal Mix.","Weakly Separated","Complete data","Y3",-0.00429900545396214,-0.00863471277303187,0.0506770279616059
"Large Sample (N=1200)","Equal Mix.","Weakly Separated","FIML","Y3",1,1,1
"Large Sample (N=1200)","Equal Mix.","Weakly Separated","Pattern Mixture Model","Y3",-1.83806025919431,1.37189358135681,0.234988307169202
"Large Sample (N=1200)","Equal Mix.","Weakly Separated","EMS-MVN.","Y3",1.29297032402952,0.0491508517059696,0.809902586470384
"Large Sample (N=1200)","Equal Mix.","Weakly Separated","MICE-PMM","Y3",1.4862086942573,0.0963959281804696,0.759138410407139
"Large Sample (N=1200)","Equal Mix.","Weakly Separated","MICE-CART","Y3",0.646571061918511,0.258082664074889,0.251934212103268
"Large Sample (N=1200)","Equal Mix.","Weakly Separated","MICE-RF","Y3",0.950264356753288,0.567965010998005,0.428578263715583
"Large Sample (N=1200)","Equal Mix.","Strongly Separated","Complete data","Y3",0.16149612884081,-0.00124454368256815,-0.0427557498306349
"Large Sample (N=1200)","Equal Mix.","Strongly Separated","FIML","Y3",1,1,1
"Large Sample (N=1200)","Equal Mix.","Strongly Separated","Pattern Mixture Model","Y3",-0.848159586788132,1.53187966476762,0.097103355051824
"Large Sample (N=1200)","Equal Mix.","Strongly Separated","EMS-MVN.","Y3",0.933929833553643,0.277273168187267,0.708681277877966
"Large Sample (N=1200)","Equal Mix.","Strongly Separated","MICE-PMM","Y3",1.25114111521757,0.29899210263825,0.67882616545985
"Large Sample (N=1200)","Equal Mix.","Strongly Separated","MICE-CART","Y3",0.198385038711592,0.312099709911509,0.078243988382381
"Large Sample (N=1200)","Equal Mix.","Strongly Separated","MICE-RF","Y3",0.430133939410289,0.584064350229234,0.252892343720061
"Large Sample (N=1200)","Unequal Mix.","Weakly Separated","Complete data","Y3",0.0561698850195302,-0.048735847036031,0.0408738607692864
"Large Sample (N=1200)","Unequal Mix.","Weakly Separated","FIML","Y3",1,1,1
"Large Sample (N=1200)","Unequal Mix.","Weakly Separated","Pattern Mixture Model","Y3",-0.748048830718313,0.696517906789899,-0.438451046395728
"Large Sample (N=1200)","Unequal Mix.","Weakly Separated","EMS-MVN.","Y3",1.86721542195076,0.39671041713366,0.713514169745349
"Large Sample (N=1200)","Unequal Mix.","Weakly Separated","MICE-PMM","Y3",1.80794554110316,0.382638269794411,0.336955763156044
"Large Sample (N=1200)","Unequal Mix.","Weakly Separated","MICE-CART","Y3",1.15516644418329,0.117144613694809,0.138548862741771
"Large Sample (N=1200)","Unequal Mix.","Weakly Separated","MICE-RF","Y3",1.5498070171135,0.374698332153365,0.328781477258985
"Large Sample (N=1200)","Unequal Mix.","Strongly Separated","Complete data","Y3",0.0435509887090029,0.0112487615841202,-0.0388708005814169
"Large Sample (N=1200)","Unequal Mix.","Strongly Separated","FIML","Y3",1,1,1
"Large Sample (N=1200)","Unequal Mix.","Strongly Separated","Pattern Mixture Model","Y3",-0.505936638747706,0.894853451117473,-0.353510357154168
"Large Sample (N=1200)","Unequal Mix.","Strongly Separated","EMS-MVN.","Y3",1.5510066312205,0.466411969453869,0.555537367149396
"Large Sample (N=1200)","Unequal Mix.","Strongly Separated","MICE-PMM","Y3",1.57728697453054,0.405066940214103,0.309623089683238
"Large Sample (N=1200)","Unequal Mix.","Strongly Separated","MICE-CART","Y3",0.439438835454129,0.201250339742409,0.0500586510833118
"Large Sample (N=1200)","Unequal Mix.","Strongly Separated","MICE-RF","Y3",0.858716171814326,0.40185775533286,0.193516300563762
"Small Sample (N=300)","Equal Mix.","Weakly Separated","Complete data","Y4",6.01464445595855,-0.246489483950303,-0.247650204812532
"Small Sample (N=300)","Equal Mix.","Weakly Separated","FIML","Y4",1,1,1
